"ValidValue","Synonym","Column 3","Column 4","Column 5"
"& Assocs.","&assocs","","",""
"& Assocs.","Et Associ??s","","",""
"& Assocs.","Et Assocs","","",""
"& Assocs.","Et Assocs.","","",""
"& Assocs.","Et ??ne","","",""
"& Co.","& Co","","",""
"& Co.","& Co.","","",""
"& Co.","& Company","","",""
"& Co.","&co","","",""
"& Co.","&co.","","",""
"& Co.","&company","","",""
"& Co.","Et Cie","","",""
"& Co.","Et Co","","",""
"& Co.","Et Company","","",""
"& Son","& Son","","",""
"& Son","&son","","",""
"& Sons","& Sons","","",""
"& Sons","&sons","","",""
"&partner","& Partner","","",""
"&partner","&partner","","",""
"&partners","& Partners","","",""
"&partners","&partners","","",""
"Advisor","Advisor","","",""
"Advisor","Advisors","","",""
"Ag","A.g.","","",""
"Ag","Ag","","",""
"Ag","Ag.","","",""
"Ag","Aktiengesellschaft","","",""
"Asbl","Asbl","","",""
"Asbl","Association Sans But Lucratif","","",""
"Assets","Asset","","",""
"Assets","Assets","","",""
"Assoc.","Ass","","",""
"Assoc.","Ass.","","",""
"Assoc.","Assoc","","",""
"Assoc.","Assoc.","","",""
"Assoc.","Assocation","","",""
"Assoc.","Association","","",""
"Associate","Associate","","",""
"Associ??","Associ??","","",""
"Associ??s","Associ??s","","",""
"Assocs","Associates","","",""
"Assocs","Assocs","","",""
"Assocs","Assocs.","","",""
"Avantage","Avantage","","",""
"Avantage","Avantages","","",""
"Bank","Bank","","",""
"Bases","Base","","",""
"Bases","Bases","","",""
"Benefit","Benefit","","",""
"Benefits","Benefits","","",""
"Brd","Board","","",""
"Brd","Brd","","",""
"Brokers","Broker","","",""
"Brokers","Brokers","","",""
"Capitaux","Capitaux","","",""
"Care","Care","","",""
"Chercheurs","Chercheurs","","",""
"Chercheurs","Recherche","","",""
"Clinic","Clinic","","",""
"Clinique","Clinique","","",""
"Club","Club","","",""
"Co.","Cie.","","",""
"Co.","Co","","",""
"Co.","Co.","","",""
"Co.","Company","","",""
"Confiance","Confiance","","",""
"Confiances","Confiances","","",""
"Conseil","Conseil","","",""
"Conseiller","Conseiller","","",""
"Conseillers","Conseillers","","",""
"Consultant","Consultant","","",""
"Consultanting","Consultanting","","",""
"Consultants","Consultants","","",""
"Corp.","Corp","","",""
"Corp.","Corp.","","",""
"Corp.","Corporation","","",""
"Ctr","Center","","",""
"Ctr","Centre","","",""
"Ctr","Ctr","","",""
"Dept.","Department","","",""
"Dept.","Dept","","",""
"Dept.","Dept.","","",""
"Directeur","Directeur","","",""
"Directeur","Directeurs","","",""
"Domaine","Domaine","","",""
"Domaines","Domaines","","",""
"D??pt.","D??partement","","",""
"D??pt.","D??pt","","",""
"D??pt.","D??pt.","","",""
"D??tail","D??tail","","",""
"D??taillants","D??taillants","","",""
"Eng.","Eng","","",""
"Eng.","Eng.","","",""
"Eng.","Engineering","","",""
"Engineers","Engineers","","",""
"Engineers","Ing??nieurs","","",""
"Enterprise","Enterprise","","",""
"Enterprise Unipersonnelle ?? Responsabilit?? Limit??e","Enterprise Unipersonnelle ?? Responsabilit?? Limit??e","","",""
"Enterprise Unipersonnelle ?? Responsabilit?? Limit??e","Eurl","","",""
"Entreprises","Entreprises","","",""
"Est.","Est","","",""
"Est.","Est.","","",""
"Est.","Estate","","",""
"Ests.","Estates","","",""
"Ests.","Ests","","",""
"Ests.","Ests.","","",""
"Et Fils","Et Fils","","",""
"Fctry","Factory","","",""
"Fctry","Fctry","","",""
"Fctry","Usine","","",""
"Fils","Fils","","",""
"Finance","Finance","","",""
"Financement","Financement","","",""
"Finances","Finances","","",""
"Financial","Financial","","",""
"Financier","Financier","","",""
"Financing","Financing","","",""
"Fnd","Fnd","","",""
"Fnd","Fund","","",""
"Fndtn","Fndtn","","",""
"Fndtn","Foundation","","",""
"Fndtns","Fndtns","","",""
"Fndtns","Foundations","","",""
"Fonds","Fonds","","",""
"Gestion","Gestion","","",""
"Glbl","Glbl","","",""
"Glbl","Global","","",""
"Gmbh","G.m.b.h","","",""
"Gmbh","Gesellschaft Mit Beschr??nkter Haftung","","",""
"Gmbh","Gmbh","","",""
"Groupement D'int??ret ??conomique","Gie","","",""
"Groupement D'int??ret ??conomique","Groupement D'int??ret ??conomique","","",""
"Grp.","Group","","",""
"Grp.","Groupe","","",""
"Grp.","Grp","","",""
"Grp.","Grp.","","",""
"Holding","Holding","","",""
"Holding","Holdings","","",""
"Hypoth??ques","Hypoth??que","","",""
"Hypoth??ques","Hypoth??ques","","",""
"Inc.","Inc","","",""
"Inc.","Inc.","","",""
"Inc.","Incorporated","","",""
"Inc.","Incorpor??","","",""
"Ind.","Ind","","",""
"Ind.","Ind.","","",""
"Ind.","Industrie","","",""
"Ind.","Industry","","",""
"Intl.","International","","",""
"Intl.","Intl","","",""
"Intl.","Intl.","","",""
"Inv.","Inv.","","",""
"Inv.","Invest","","",""
"Inv.","Investment","","",""
"Inv.","Investments","","",""
"Inv.","Invstmnts","","",""
"Invstrs.","Investisseurs","","",""
"Invstrs.","Investors","","",""
"Invstrs.","Invstrs","","",""
"Invstrs.","Invstrs.","","",""
"Kk","K K","","",""
"Kk","Kabushiki","","",""
"Kk","Kabushiki K","","",""
"Kk","Kabushiki Kaisha","","",""
"Kk","Kk","","",""
"La Banque","La Banque","","",""
"Les Investissements","Investissement","","",""
"Les Investissements","Investissent","","",""
"Les Investissements","Les Investissements","","",""
"Llc","L L C","","",""
"Llc","L.L.C.","","",""
"Llc","L.l.c","","",""
"Llc","Limited Liability Company","","",""
"Llc","Llc","","",""
"Llc","Ltd Liability Co","","",""
"Llp","L L P","","",""
"Llp","L.l.p.","","",""
"Llp","Limited Liability Partership","","",""
"Llp","Llp","","",""
"Lp","L P","","",""
"Lp","L.P.","","",""
"Lp","Limited Partership","","",""
"Lp","Lp","","",""
"Ltd.","Limitd","","",""
